Date,Price Against BTC,Price Against USD
2018-10-03,6498.46,224.85
2018-10-02,6572.83,230.4
2018-10-01,6605,232.27
2018-09-30,6582,231.01
2018-09-29,6620.01,220.67
2018-09-28,6680.01,229
2018-09-27,6455.66,214.15
2018-09-26,6436.89,219.19
2018-09-25,6582.09,228.01
2018-09-24,6696.99,244.35
2018-09-23,6707.33,240.71
2018-09-22,6750,247.76
2018-09-21,6493.11,224.41
2018-09-20,6386.94,209.81
2018-09-19,6335.7,208.5
2018-09-18,6250.7,195.97
2018-09-17,6498,220.19
2018-09-16,6518.68,221.69
2018-09-15,6478.04,210
2018-09-14,6485.99,211.39
2018-09-13,6326,182.79
2018-09-12,6282.53,185.15
2018-09-11,6299.99,196.94
2018-09-10,6235.01,195.91
2018-09-09,6188,197
2018-09-08,6395.01,215.21
2018-09-07,6495,229.66
2018-09-06,6687.96,227.56
2018-09-05,7360,285.43
2018-09-04,7256.98,288.6
2018-09-03,7295,295.06
2018-09-02,7191.08,294.64
2018-09-01,7015.01,281.94
2018-08-31,6983,284.52
2018-08-30,7030.9,289
2018-08-29,7071.01,295.39
2018-08-28,6911.9,287.99
2018-08-27,6709.98,274.25
2018-08-26,6737.52,277.97
2018-08-25,6690.88,281.35
2018-08-24,6526.36,275.87
2018-08-23,6359.99,270.47
2018-08-22,6475.9,281.49
2018-08-21,6258.74,270.76
2018-08-20,6489.53,300.03
2018-08-19,6396.64,296.61
2018-08-18,6585.49,317.54
2018-08-17,6315.9,286.67
2018-08-16,6269.01,281.21
2018-08-15,6195.01,278.37
2018-08-14,6253.67,284.11
2018-08-13,6316.01,318.15
2018-08-12,6112.21,312.65
2018-08-11,6146.01,330.99
2018-08-10,6546.46,363.99
2018-08-09,6282.5,355.7
2018-08-08,6718.22,378.08
2018-08-07,6938,404.99
2018-08-06,7030.01,408.83
2018-08-05,7005,407
2018-08-04,7414.08,417.8
2018-08-03,7533.92,410.71
2018-08-02,7603.99,419.6
2018-08-01,7727.27,432.16
2018-07-31,8170.01,456.47
2018-07-30,8216.34,466.01
2018-07-29,8228.9,468.12
2018-07-28,8184.21,469.3
2018-07-27,7931.99,461.42
2018-07-26,8157.15,470.81
2018-07-25,8401.01,478.78
2018-07-24,7720.09,449
2018-07-23,7397.8,456.9
2018-07-22,7408,461.5
2018-07-21,7334.46,448.21
2018-07-20,7470.01,468.39
2018-07-19,7378.99,478.81
2018-07-18,7315.01,499.01
2018-07-17,6728.81,478.18
2018-07-16,6348.73,449.41
2018-07-15,6248.65,434.13
2018-07-14,6216.29,432.8
2018-07-13,6249.75,431.46
2018-07-12,6390.04,446.25
2018-07-11,6303.7,432.59
2018-07-10,6664.01,471.6
2018-07-09,6701.97,486.08
2018-07-08,6753.28,484.48
2018-07-07,6600,469.3
2018-07-06,6532.95,467.25
2018-07-05,6587.47,466.9
2018-07-04,6502.62,461.75
2018-07-03,6611.79,476.34
2018-07-02,6349.5,451.43
2018-07-01,6383.19,453.29
2018-06-30,6202.36,434.6
2018-06-29,5851.66,420
2018-06-28,6132.17,441.41
2018-06-27,6074.94,429.08
2018-06-26,6246.01,458.41
2018-06-25,6149.99,454.79
2018-06-24,6178.29,475.17
2018-06-23,6059.82,462.01
2018-06-22,6719.01,525.49
2018-06-21,6756.1,536
2018-06-20,6736.41,538.5
2018-06-19,6709.02,517.47
2018-06-18,6447.16,496.5
2018-06-17,6484.29,497.31
2018-06-16,6391.22,487.45
2018-06-15,6638.49,519.75
2018-06-14,6302.32,476.02
2018-06-13,6544.99,494.14
2018-06-12,6881,531.68
2018-06-11,6770.31,525.25
2018-06-10,7496.4,593.41
2018-06-09,7618.8,598.59
2018-06-08,7684.93,603.56
2018-06-07,7655,606.18
2018-06-06,7612.51,607.6
2018-06-05,7487.37,591.5
2018-06-04,7706.37,618.63
2018-06-03,7636.42,590.46
2018-06-02,7514.32,578.89
2018-06-01,7485,577.1
2018-05-31,7380.01,557.22
2018-05-30,7460,566.66
2018-05-29,7107.94,511.33
2018-05-28,7346.64,570.75
2018-05-27,7337.95,584.99
2018-05-26,7459.11,584.02
2018-05-25,7584.15,603
2018-05-24,7505,577.2
2018-05-23,7987.7,640.5
2018-05-22,8393.44,696.77
2018-05-21,8516.86,714
2018-05-20,8235.6,695.96
2018-05-19,8238.51,694.5
2018-05-18,8059,668.56
2018-05-17,8344,707.45
2018-05-16,8477.46,706.08
2018-05-15,8670,726.9
2018-05-14,8686.1,729.29
2018-05-13,8475,684.66
2018-05-12,8403.33,678.05
2018-05-11,9010.51,723.51
2018-05-10,9300.08,750
2018-05-09,9177.81,746.99
2018-05-08,9353,752.42
2018-05-07,9600,784.28
2018-05-06,9800,812
2018-05-05,9685,783.01
2018-05-04,9725.74,775.51
2018-05-03,9190.48,685.02
2018-05-02,9072.29,670.75
2018-05-01,9243.83,669.81
2018-04-30,9389.01,687.51
2018-04-29,9329.99,682
2018-04-28,8922.55,642.77
2018-04-27,9272.11,661.13
2018-04-26,8865.98,617.49
2018-04-25,9648,703.38
2018-04-24,8931.3,642.85
2018-04-23,8795.01,621
2018-04-22,8915.42,605.16
2018-04-21,8866.27,617.17
