Date,Price
2018-10-03,224.85
2018-10-02,230.4
2018-10-01,232.27
2018-09-30,231.01
2018-09-29,220.67
2018-09-28,229
2018-09-27,214.15
2018-09-26,219.19
2018-09-25,228.01
2018-09-24,244.35
2018-09-23,240.71
2018-09-22,247.76
2018-09-21,224.41
2018-09-20,209.81
2018-09-19,208.5
2018-09-18,195.97
2018-09-17,220.19
2018-09-16,221.69
2018-09-15,210
2018-09-14,211.39
2018-09-13,182.79
2018-09-12,185.15
2018-09-11,196.94
2018-09-10,195.91
2018-09-09,197
2018-09-08,215.21
2018-09-07,229.66
2018-09-06,227.56
2018-09-05,285.43
2018-09-04,288.6
2018-09-03,295.06
2018-09-02,294.64
2018-09-01,281.94
2018-08-31,284.52
2018-08-30,289
2018-08-29,295.39
2018-08-28,287.99
2018-08-27,274.25
2018-08-26,277.97
2018-08-25,281.35
2018-08-24,275.87
2018-08-23,270.47
2018-08-22,281.49
2018-08-21,270.76
2018-08-20,300.03
2018-08-19,296.61
2018-08-18,317.54
2018-08-17,286.67
2018-08-16,281.21
2018-08-15,278.37
2018-08-14,284.11
2018-08-13,318.15
2018-08-12,312.65
2018-08-11,330.99
2018-08-10,363.99
2018-08-09,355.7
2018-08-08,378.08
2018-08-07,404.99
2018-08-06,408.83
2018-08-05,407
2018-08-04,417.8
2018-08-03,410.71
2018-08-02,419.6
2018-08-01,432.16
2018-07-31,456.47
2018-07-30,466.01
2018-07-29,468.12
2018-07-28,469.3
2018-07-27,461.42
2018-07-26,470.81
2018-07-25,478.78
2018-07-24,449
2018-07-23,456.9
2018-07-22,461.5
2018-07-21,448.21
2018-07-20,468.39
2018-07-19,478.81
2018-07-18,499.01
2018-07-17,478.18
2018-07-16,449.41
2018-07-15,434.13
2018-07-14,432.8
2018-07-13,431.46
2018-07-12,446.25
2018-07-11,432.59
2018-07-10,471.6
2018-07-09,486.08
2018-07-08,484.48
2018-07-07,469.3
2018-07-06,467.25
2018-07-05,466.9
2018-07-04,461.75
2018-07-03,476.34
2018-07-02,451.43
2018-07-01,453.29
2018-06-30,434.6
2018-06-29,420
2018-06-28,441.41
2018-06-27,429.08
2018-06-26,458.41
2018-06-25,454.79
2018-06-24,475.17
2018-06-23,462.01
2018-06-22,525.49
2018-06-21,536
2018-06-20,538.5
2018-06-19,517.47
2018-06-18,496.5
2018-06-17,497.31
2018-06-16,487.45
2018-06-15,519.75
2018-06-14,476.02
2018-06-13,494.14
2018-06-12,531.68
2018-06-11,525.25
2018-06-10,593.41
2018-06-09,598.59
2018-06-08,603.56
2018-06-07,606.18
2018-06-06,607.6
2018-06-05,591.5
2018-06-04,618.63
2018-06-03,590.46
2018-06-02,578.89
2018-06-01,577.1
2018-05-31,557.22
2018-05-30,566.66
2018-05-29,511.33
2018-05-28,570.75
2018-05-27,584.99
2018-05-26,584.02
2018-05-25,603
2018-05-24,577.2
2018-05-23,640.5
2018-05-22,696.77
2018-05-21,714
2018-05-20,695.96
2018-05-19,694.5
2018-05-18,668.56
2018-05-17,707.45
2018-05-16,706.08
2018-05-15,726.9
2018-05-14,729.29
2018-05-13,684.66
2018-05-12,678.05
2018-05-11,723.51
2018-05-10,750
2018-05-09,746.99
2018-05-08,752.42
2018-05-07,784.28
2018-05-06,812
2018-05-05,783.01
2018-05-04,775.51
2018-05-03,685.02
2018-05-02,670.75
2018-05-01,669.81
2018-04-30,687.51
2018-04-29,682
2018-04-28,642.77
2018-04-27,661.13
2018-04-26,617.49
2018-04-25,703.38
2018-04-24,642.85
2018-04-23,621
2018-04-22,605.16
2018-04-21,617.17
2018-04-20,567.29
2018-04-19,525.89
2018-04-18,502.42
2018-04-17,511.28
2018-04-16,533.74
2018-04-15,502.4
2018-04-14,495.22
2018-04-13,493.41
2018-04-12,430.81
2018-04-11,415.45
2018-04-10,398.8
2018-04-09,399.9
2018-04-08,384.61
2018-04-07,370.32
2018-04-06,381.55
2018-04-05,378.43
2018-04-04,416.38
2018-04-03,384
2018-04-02,378.18
2018-04-01,394.54
2018-03-31,394.46
2018-03-30,383.29
2018-03-29,445.47
2018-03-28,449
2018-03-27,486.75
2018-03-26,522.55
2018-03-25,519.57
2018-03-24,543.04
2018-03-23,539.89
2018-03-22,559.98
2018-03-21,558
2018-03-20,555.55
2018-03-19,538
2018-03-18,549.79
2018-03-17,600.52
2018-03-16,610.99
2018-03-15,614.63
2018-03-14,690.39
2018-03-13,696.51
2018-03-12,719.79
2018-03-11,683.6
2018-03-10,728.46
2018-03-09,698.83
2018-03-08,751.38
2018-03-07,815.43
2018-03-06,848.83
2018-03-05,861.74
2018-03-04,854.34
2018-03-03,854.31
2018-03-02,868.74
2018-03-01,849.99
2018-02-28,870.98
2018-02-27,867.09
2018-02-26,841.96
2018-02-25,833.2
2018-02-24,854.01
2018-02-23,806
2018-02-22,840.34
2018-02-21,884.76
2018-02-20,939.01
2018-02-19,912.41
2018-02-18,975
2018-02-17,936.02
2018-02-16,929.3
2018-02-15,920.27
2018-02-14,840.49
2018-02-13,864.4
2018-02-12,811.35
2018-02-11,849.47
2018-02-10,875.99
2018-02-09,812
2018-02-08,750.04
2018-02-07,783.83
2018-02-06,693.54
2018-02-05,826
2018-02-04,969.4
2018-02-03,911.99
2018-02-02,1017.48
2018-02-01,1105
2018-01-31,1054.39
2018-01-30,1162.27
2018-01-29,1215.01
2018-01-28,1100
2018-01-27,1045.57
2018-01-26,1040
2018-01-25,1056.99
2018-01-24,984.03
2018-01-23,999.68
2018-01-22,1047.13
2018-01-21,1150.02
2018-01-20,1037.45
2018-01-19,1025.78
2018-01-18,1028.06
2018-01-17,1080
2018-01-16,1278.63
2018-01-15,1365.46
2018-01-14,1386.02
2018-01-13,1260
2018-01-12,1137.01
2018-01-11,1246.95
2018-01-10,1290.01
2018-01-09,1137.01
2018-01-08,1118.3
2018-01-07,1006.68
2018-01-06,969.27
2018-01-05,949
2018-01-04,938.31
2018-01-03,865
2018-01-02,759.03
2018-01-01,741.27
2017-12-31,710.58
2017-12-30,748.89
2017-12-29,719.5
2017-12-28,739.99
2017-12-27,755.07
2017-12-26,740.5
2017-12-25,697.04
2017-12-24,732.8
2017-12-23,682.11
2017-12-22,796.98
2017-12-21,802.86
2017-12-20,826.65
2017-12-19,785.65
2017-12-18,732.18
2017-12-17,704.18
2017-12-16,693.5
2017-12-15,705.01
2017-12-14,711.94
2017-12-13,686.82
2017-12-12,518
2017-12-11,447.71
2017-12-10,485.04
2017-12-09,463.45
2017-12-08,433.28
2017-12-07,432.49
2017-12-06,457.3
2017-12-05,468.22
2017-12-04,464.76
2017-12-03,460.34
2017-12-02,463.82
2017-12-01,434.03
2017-11-30,434.01
2017-11-29,468.52
2017-11-28,477.53
2017-11-27,473.99
2017-11-26,466.77
2017-11-25,470.98
2017-11-24,406.61
2017-11-23,381.73
2017-11-22,361.51
2017-11-21,368.24
2017-11-20,354.59
2017-11-19,346.6
2017-11-18,332.31
2017-11-17,330.21
2017-11-16,331.81
2017-11-15,335.04
2017-11-14,315.56
2017-11-13,307.1
2017-11-12,315.69
2017-11-11,298.04
2017-11-10,320.72
2017-11-09,307.91
2017-11-08,292.42
2017-11-07,297.32
2017-11-06,296.57
2017-11-05,301.66
2017-11-04,306
2017-11-03,285.4
2017-11-02,290.82
2017-11-01,303.51
2017-10-31,306.87
2017-10-30,303.38
2017-10-29,295.11
2017-10-28,297.59
2017-10-27,295.98
2017-10-26,296.76
2017-10-25,296.99
2017-10-24,285.83
2017-10-23,295.14
2017-10-22,300
2017-10-21,303.15
2017-10-20,308.02
2017-10-19,313.59
2017-10-18,316.37
2017-10-17,334.36
2017-10-16,336.89
2017-10-15,338.37
